,ReviewText,aspects,terms
60,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,"['LAPTOP#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE']",
61,It's more expensive but well worth it in the long run.,"['LAPTOP#PRICE', 'LAPTOP#GENERAL']",
62,"Great product, very easy to use and great graphics.","['LAPTOP#GENERAL', 'LAPTOP#USABILITY', 'GRAPHICS#GENERAL']",
63,"One drawback, I wish the keys were backlit.",['KEYBOARD#DESIGN_FEATURES'],
64,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.","['LAPTOP#GENERAL', 'LAPTOP#PRICE']",
65,It had most of the features and all of the power that I wanted to replace my desktop machine.,"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']",
66,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#PORTABILITY']",
67,I'm very happy with this machine!,['LAPTOP#GENERAL'],
68,"I love the size, keyboard, the functions.","['LAPTOP#DESIGN_FEATURES', 'KEYBOARD#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE']",
69,I don't really have a complaint.,['LAPTOP#GENERAL'],
70,"It is easy to use, good quality and good price.","['LAPTOP#USABILITY', 'LAPTOP#QUALITY', 'LAPTOP#PRICE']",
71,Perfect trifecta!,['LAPTOP#GENERAL'],
72,I would recommend this product.,['LAPTOP#GENERAL'],
73,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,"['SOFTWARE#GENERAL', 'LAPTOP#GENERAL']",
74,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,['SUPPORT#QUALITY'],
75,The DVD burner broke after burning 3 DVD'd during that time!,['OPTICAL_DRIVES#QUALITY'],
76,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,['SUPPORT#QUALITY'],
77,If this is an improvement in Customer Service then I would hate too see what it was before!,['SUPPORT#QUALITY'],
78,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,['SUPPORT#QUALITY'],
79,Needless to say I told them No and have a nice day and hung up!,['SUPPORT#QUALITY'],
80,I can guarantee this will be the last Dell I will ever purchase!,"['LAPTOP#GENERAL', 'COMPANY#GENERAL']",
81,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,"['LAPTOP#QUALITY', 'SUPPORT#QUALITY']",
82,I do not recommend this company or their products!!!!,['COMPANY#GENERAL'],
83,"So far, a great product.",['LAPTOP#GENERAL'],
84,"High price tag, however.",['LAPTOP#PRICE'],
85,Still trying to learn how to use it.,['LAPTOP#USABILITY'],
86,it is the worst computer dell ever made.,['LAPTOP#GENERAL'],
87,it is hard to fix and makes it a hassle to own one.,"['LAPTOP#QUALITY', 'LAPTOP#GENERAL']",
88,breaks easily.,['LAPTOP#QUALITY'],
89,only good thing is the graphics quality.,['GRAPHICS#QUALITY'],
90,There are so many wonderful features and benefits to the new MacBook!,"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#GENERAL']",
91,No Viruses!,['LAPTOP#QUALITY'],
92,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,"['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#USABILITY']",
93,I am loyal to Apple.,['COMPANY#GENERAL'],
94,I am very Happy!,['LAPTOP#GENERAL'],
95,This just keeps having it's hard drive replaced!,['HARD_DISC#QUALITY'],
96,Acer won't replace the laptop.,['SUPPORT#QUALITY'],
97,the manufacturer's warranty only covers replacement/repair of parts.,['WARRANTY#GENERAL'],
98,This thing is a lemon.,['LAPTOP#QUALITY'],
99,This MacBook is an outstanding product with great value.,['LAPTOP#GENERAL'],
100,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,"['LAPTOP#USABILITY', 'SUPPORT#QUALITY']",
101,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.","['BATTERY#OPERATION_PERFORMANCE', 'LAPTOP#OPERATION_PERFORMANCE']",
102,It does run a little warm but that is a negligible concern.,['LAPTOP#QUALITY'],
103,I have had nothing but problems since the day I took it out of the box!,"['LAPTOP#GENERAL', 'LAPTOP#QUALITY']",
104,My first problem was with the pre-loaded Norton Firewall/Security program.,['SOFTWARE#GENERAL'],
105,It would not let me connect to my Wifi system where I lived.,['LAPTOP#CONNECTIVITY'],
106,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,['SUPPORT#QUALITY'],
107,"Then just the other day, my left ""mouse"" button snapped!",['MOUSE#QUALITY'],
108,"Being only 2 months old, I am not a happy camper!",['LAPTOP#QUALITY'],
109,Buyer Beware.,['LAPTOP#GENERAL'],
110,"this one, in my opinion, might be a lemon!",['LAPTOP#QUALITY'],
111,It rarely works and when it does it's incredibly slow.,"['LAPTOP#QUALITY', 'LAPTOP#OPERATION_PERFORMANCE']",
112,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,['LAPTOP#QUALITY'],
113,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",['LAPTOP#GENERAL'],
114,Like the price and operation.,"['LAPTOP#PRICE', 'LAPTOP#OPERATION_PERFORMANCE']",
115,"Some features arent friendly ( volume wheel, sound quality, etc.","['LAPTOP#USABILITY', 'MULTIMEDIA_DEVICES#USABILITY', 'MULTIMEDIA_DEVICES#QUALITY']",
116,"But, for the cost this is a winner.","['LAPTOP#GENERAL', 'LAPTOP#PRICE']",
117,I absolutely love my mac!,['LAPTOP#GENERAL'],
118,I can't imagine my life without it anymore!,['LAPTOP#GENERAL'],
119,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,"['LAPTOP#GENERAL', 'PORTS#QUALITY']",
120,Apparently they are defective since they are not securely attached.,['PORTS#QUALITY'],
121,I can barely use any usb devices because they will not stay connected properly.,['LAPTOP#CONNECTIVITY'],
122,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,['SUPPORT#QUALITY'],
123,I think I might rather suffer for something that is simple to fix in my opinion.,['SUPPORT#QUALITY'],
124,I bought this laptop Was the worst Laptop I've ever bought.,['LAPTOP#GENERAL'],
125,I spent alot of money on this product and its been a nightmare.,"['LAPTOP#PRICE', 'LAPTOP#GENERAL']",
126,And having to deal with the company has been a even worse nightmare.,['SUPPORT#QUALITY'],
127,They sent it back with a huge crack in it and it still didn't work.,['SUPPORT#QUALITY'],
128,And that was the fourth time ive sent it to them to get fixed.,['SUPPORT#QUALITY'],
129,Its been a year and am still waiting to see what there going to do about my laptop.,['SUPPORT#QUALITY'],
130,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,['COMPANY#GENERAL'],
131,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,['LAPTOP#GENERAL'],
132,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.","['DISPLAY#GENERAL', 'BATTERY#OPERATION_PERFORMANCE']",
133,"A little pricey but it is well, well worth it.","['LAPTOP#PRICE', 'LAPTOP#GENERAL']",
134,It is amazing.,['LAPTOP#GENERAL'],
135,In the first moth of owning this computer its hardrive failed which had to be replaced.,['HARD_DISC#QUALITY'],
136,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,"['BATTERY#QUALITY', 'BATTERY#OPERATION_PERFORMANCE']",
137,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,"['POWER_SUPPLY#QUALITY', 'POWER_SUPPLY#OPERATION_PERFORMANCE', 'HARDWARE#QUALITY']",
138,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,"['LAPTOP#GENERAL', 'LAPTOP#QUALITY']",
139,Has a 5-6 hour battery life.,['BATTERY#OPERATION_PERFORMANCE'],
140,It is easy to use and lightweight.,"['LAPTOP#USABILITY', 'LAPTOP#DESIGN_FEATURES']",
141,Was very much worth the price i paid.,"['LAPTOP#GENERAL', 'LAPTOP#PRICE']",
142,This netbook went bad on me after 3 days.,['LAPTOP#QUALITY'],
143,There is a blank lighted screen when I start and that is all.,['DISPLAY#OPERATION_PERFORMANCE'],
144,"Three weeks after I bought the netbook, the screen quit working.","['DISPLAY#QUALITY', 'DISPLAY#OPERATION_PERFORMANCE']",
145,I baby my electronics so I know for a fact it was defective and not anything that I did to it.,['DISPLAY#QUALITY'],
146,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.","['LAPTOP#QUALITY', 'LAPTOP#OPERATION_PERFORMANCE', 'BATTERY#OPERATION_PERFORMANCE']",
147,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,"['LAPTOP#PORTABILITY', 'LAPTOP#DESIGN_FEATURES', 'LAPTOP#GENERAL']",
148,The So called laptop Runs to Slow and I hate it!,"['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#GENERAL']",
149,Do not  buy it!,['LAPTOP#GENERAL'],
150,It is the worst laptop ever,['LAPTOP#GENERAL'],
151,"The image is great, and the soud is excelent.","['DISPLAY#QUALITY', 'MULTIMEDIA_DEVICES#QUALITY']",
152,i love ths notebook.,['LAPTOP#GENERAL'],
153,I love the glass touchpad.,['MOUSE#DESIGN_FEATURES'],
154,Easy learning curve.,['LAPTOP#USABILITY'],
155,Also the display is exceptional!,['DISPLAY#GENERAL'],
156,I have loved this since i took it out of the box.,['LAPTOP#GENERAL'],
157,The battery is really long.,['BATTERY#OPERATION_PERFORMANCE'],
158,"the features are great, the only thing it needs is better speakers.","['LAPTOP#DESIGN_FEATURES', 'MULTIMEDIA_DEVICES#GENERAL']",
159,Small and light weight.,['LAPTOP#DESIGN_FEATURES'],
160,Speakers too small to be of any real use.,"['MULTIMEDIA_DEVICES#DESIGN_FEATURES', 'MULTIMEDIA_DEVICES#USABILITY']",
161,Keyboard good sized and wasy to use.,"['KEYBOARD#DESIGN_FEATURES', 'KEYBOARD#USABILITY']",
162,I like it!,['LAPTOP#GENERAL'],
163,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,"['LAPTOP#GENERAL', 'LAPTOP#DESIGN_FEATURES', 'LAPTOP#PORTABILITY']",
164,"Needless to say, not to happy with the product.",['LAPTOP#GENERAL'],
165,This is a great machine!,['LAPTOP#GENERAL'],
166,"The design is awesome, quality is unprecedented.","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#QUALITY']",
167,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.","['LAPTOP#QUALITY', 'LAPTOP#DESIGN_FEATURES', 'LAPTOP#PRICE', 'LAPTOP#OPERATION_PERFORMANCE']",
168,It is by far one of the greatest investments I have ever made.,['LAPTOP#GENERAL'],
169,"Am very glad I bought it, great netbook, low price.","['LAPTOP#GENERAL', 'LAPTOP#PRICE']",
170,Very good quality and well made.,['LAPTOP#QUALITY'],
171,Great pick for portability and affordability.,"['LAPTOP#PORTABILITY', 'LAPTOP#PRICE']",
172,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,['LAPTOP#DESIGN_FEATURES'],
173,The only problem is a lack of screen resolutions!,"['DISPLAY#QUALITY', 'LAPTOP#GENERAL']",
174,"If you need an affordable, entry-level laptop, this will fit the bill.","['LAPTOP#PRICE', 'LAPTOP#MISCELLANEOUS']",
175,"I dislike the weight and size, cubersome.","['LAPTOP#PORTABILITY', 'LAPTOP#DESIGN_FEATURES']",
176,I dislike the quality and the placement of the speakers.,"['MULTIMEDIA_DEVICES#QUALITY', 'MULTIMEDIA_DEVICES#DESIGN_FEATURES']",
177,"Overall, it's ok.",['LAPTOP#GENERAL'],
178,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",['LAPTOP#DESIGN_FEATURES'],
179,This laptop is very large and barely fits in any carrying cases.,"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#PORTABILITY']",
180,Peformance is good for the price.,"['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#PRICE']",
181,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.","['LAPTOP#PORTABILITY', 'LAPTOP#GENERAL']",
182,Had to have this computer repaired twice in the first 5 months after purchasing it.,['LAPTOP#QUALITY'],
183,Not good for a person who gets online daily.,['LAPTOP#MISCELLANEOUS'],
184,May be better for the occasional web surfer.,['LAPTOP#MISCELLANEOUS'],
185,"I just got this laptop for college, and so far I am very happy with it.",['LAPTOP#GENERAL'],
186,It is so much easier to use,['LAPTOP#USABILITY'],
187,"Good keyboard, long battery life, largest hard drive and windows 7.","['KEYBOARD#GENERAL', 'BATTERY#OPERATION_PERFORMANCE', 'HARD_DISC#DESIGN_FEATURES', 'OS#GENERAL']",
188,And Toshiba is a quality supplier.,['COMPANY#GENERAL'],
189,I love this little one.,['LAPTOP#GENERAL'],
190,The keyboard has a wonderful nature feel.,['KEYBOARD#QUALITY'],
191,great battery life.,['BATTERY#OPERATION_PERFORMANCE'],
192,Keyboard is reasonable size.,['KEYBOARD#DESIGN_FEATURES'],
193,Small screen somewhat limiting but great for travel.,"['DISPLAY#DESIGN_FEATURES', 'LAPTOP#PORTABILITY']",
194,Charger seems large for this class of computer.,['POWER_SUPPLY#DESIGN_FEATURES'],
195,"Great Laptop for the price, works well with action pack games.","['LAPTOP#GENERAL', 'LAPTOP#PRICE', 'LAPTOP#MISCELLANEOUS']",
196,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.","['KEYBOARD#DESIGN_FEATURES', 'KEYBOARD#USABILITY']",
197,but other then that I would give this product a 4 in hafe stars.,['LAPTOP#GENERAL'],
198,Good for every day computing and web browsing.,['LAPTOP#MISCELLANEOUS'],
199,A great computer for light home use and business use.,['LAPTOP#MISCELLANEOUS'],
200,Might not make the avid gamer happy but I don't really think that is what this computer is designed for.,['LAPTOP#MISCELLANEOUS'],
201,"Crisp screen, great battery life, and plenty of storage.","['DISPLAY#QUALITY', 'BATTERY#OPERATION_PERFORMANCE', 'HARD_DISC#DESIGN_FEATURES']",
202,Very happy.,['LAPTOP#GENERAL'],
203,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,"['LAPTOP#GENERAL', 'LAPTOP#USABILITY']",
204,I would recomend this acer to parents and grandparents it can really help them in school.,['LAPTOP#MISCELLANEOUS'],
205,MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,['LAPTOP#MISCELLANEOUS'],
206,"IT WANT TAKE IT, IT KEEP SAYING ERROR.",['LAPTOP#MISCELLANEOUS'],
207,"HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.",['LAPTOP#GENERAL'],
208,It's fast and has excellent battery life.,"['LAPTOP#OPERATION_PERFORMANCE', 'BATTERY#OPERATION_PERFORMANCE']",
209,The screen shows great colors.,['DISPLAY#QUALITY'],
210,I was surprised with the performance and quality of this HP Laptop.,"['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#QUALITY']",
211,the speed is fine.,['LAPTOP#OPERATION_PERFORMANCE'],
212,"But with A WAY Bigger Screen, and IS able to connect to an HDMI.","['DISPLAY#DESIGN_FEATURES', 'LAPTOP#CONNECTIVITY']",
213,Love it.,['LAPTOP#GENERAL'],
214,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.","['LAPTOP#GENERAL', 'BATTERY#OPERATION_PERFORMANCE']",
215,I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,['BATTERY#OPERATION_PERFORMANCE'],
216,This computer is the ideal college companion.,['LAPTOP#MISCELLANEOUS'],
217,It's software and speed enable it to do amazing things.,"['LAPTOP#OPERATION_PERFORMANCE', 'SOFTWARE#GENERAL']",
218,I am not happy at all with the product I purchased.,['LAPTOP#GENERAL'],
219,"A cheaper price should not equal a ""cheap"" product.","['LAPTOP#PRICE', 'LAPTOP#QUALITY']",
220,It was over rated!,['LAPTOP#GENERAL'],
221,The Toshiba laptop was a great purchase.,['LAPTOP#GENERAL'],
222,"The price was very good, and the product is top quality.","['LAPTOP#PRICE', 'LAPTOP#QUALITY']",
223,"The delivery was fast, and I would not hesitate to purchase this laptop again.","['SHIPPING#QUALITY', 'LAPTOP#GENERAL']",
224,It has easy to use features and all the speed and power I could ask for.,"['LAPTOP#USABILITY', 'LAPTOP#OPERATION_PERFORMANCE']",
225,True quality at a great price!,"['LAPTOP#QUALITY', 'LAPTOP#PRICE']",
226,I am enjoying it and the quality it provides is great!,"['LAPTOP#GENERAL', 'LAPTOP#QUALITY']",
227,"Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!","['COMPANY#GENERAL', 'LAPTOP#GENERAL']",
228,"The screen graphics and clarity, and sharpness are great.",['DISPLAY#QUALITY'],
229,I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.,['LAPTOP#GENERAL'],
230,I like the laptop overall.,['LAPTOP#GENERAL'],
231,The only thing i can say is that the touch pad doesnt work like it should all the time.,['MOUSE#OPERATION_PERFORMANCE'],
232,Sometimes you really have to tap the pad to get it to work,"['MOUSE#OPERATION_PERFORMANCE', 'MOUSE#USABILITY']",
233,This is a great little computer for the price.,"['LAPTOP#GENERAL', 'LAPTOP#PRICE']",
234,"Simple to use, and great graphics.","['LAPTOP#USABILITY', 'GRAPHICS#GENERAL']",
235,It has everything I would need for a home computer.,['LAPTOP#MISCELLANEOUS'],
236,I'm very impressed.,['LAPTOP#GENERAL'],
237,It was secure and easy to navigate.,"['LAPTOP#QUALITY', 'LAPTOP#USABILITY']",
238,It is everything that I would want in a computer.,['LAPTOP#GENERAL'],
239,"Besides the great look, it is a great machine.","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#GENERAL']",
240,Once again apple stands alone at the top of the charts.,['COMPANY#GENERAL'],
241,"I enjoy very much my new Toshiba, purchased specifially for attending online schooling.",['LAPTOP#GENERAL'],
242,"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",['LAPTOP#USABILITY'],
243,"I have found also, it is very easy to be able to access wireless internet access; without having to have extra equipment and/or complicated routes to take to be able to do so.",['LAPTOP#CONNECTIVITY'],
244,"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#USABILITY', 'LAPTOP#MISCELLANEOUS']",
245,I am very pleased with my purchase!,['LAPTOP#GENERAL'],
246,This laptop serves all my needs.,['LAPTOP#GENERAL'],
247,Screen size is perfect for portable use in any environment.,"['DISPLAY#DESIGN_FEATURES', 'LAPTOP#PORTABILITY']",
248,Price and purpose is awesome!,"['LAPTOP#PRICE', 'LAPTOP#MISCELLANEOUS']",
249,I have been very pleased with the performance of this laptop.,['LAPTOP#OPERATION_PERFORMANCE'],
250,"The battery life seems to be very good, and have had no issues with it.",['BATTERY#OPERATION_PERFORMANCE'],
251,Great product.,['LAPTOP#GENERAL'],
252,The laptop was very easy to set up.,['LAPTOP#USABILITY'],
253,Everything was so easy.,['LAPTOP#USABILITY'],
254,They were able to set-up with labtops themselves within a few minutes.,['LAPTOP#USABILITY'],
255,It works fine with our wireless and they've had not problems.,"['LAPTOP#CONNECTIVITY', 'LAPTOP#GENERAL']",
256,It's a great product for a great price!,"['LAPTOP#GENERAL', 'LAPTOP#PRICE']",
257,"Waited on getting this computer, but it has been a great change.",['LAPTOP#GENERAL'],
258,Ease of use is just one of the benefits I love about my Mac.,['LAPTOP#USABILITY'],
259,The service I received from Toshiba went above and beyond the call of duty.,['SUPPORT#QUALITY'],
260,"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.","['LAPTOP#OPERATION_PERFORMANCE', 'DISPLAY#QUALITY', 'LAPTOP#USABILITY']",
261,It is extremely portable and easily connects to WIFI at the library and elsewhere.,"['LAPTOP#PORTABILITY', 'LAPTOP#CONNECTIVITY']",
262,Just what the doctor ordered.,['LAPTOP#GENERAL'],
263,I cannot be happier with the service or product.,"['SUPPORT#QUALITY', 'LAPTOP#GENERAL']",
264,power supply went bad after 2 weeks --,['POWER_SUPPLY#QUALITY'],
265,after much effort and 10 days ASUS replaced it,['SUPPORT#QUALITY'],
266,The WiFi is very weak.,['LAPTOP#CONNECTIVITY'],
267,Summary: Spend your money elsewhere,['LAPTOP#GENERAL'],
268,This is a nicely sized laptop with lots of processing power and long battery life.,"['LAPTOP#DESIGN_FEATURES', 'CPU#OPERATION_PERFORMANCE', 'BATTERY#OPERATION_PERFORMANCE']",
269,Love it so far.,['LAPTOP#GENERAL'],
270,The Toshiba Net book operates very well.,['LAPTOP#OPERATION_PERFORMANCE'],
271,The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.,['OS#MISCELLANEOUS'],
272,"I bought this netbook for traveling, and it's great - light, functional, and meets my needs.","['LAPTOP#GENERAL', 'LAPTOP#DESIGN_FEATURES', 'LAPTOP#PORTABILITY', 'LAPTOP#OPERATION_PERFORMANCE']",
273,"The touchpad is extremely sensitive, which is the only drawback.","['MOUSE#OPERATION_PERFORMANCE', 'LAPTOP#GENERAL']",
274,"Otherwise, I love it!",['LAPTOP#GENERAL'],
275,I wasn't really sure I wanted to spend that kind of money!,['LAPTOP#PRICE'],
276,It Was a great deal after all.,"['LAPTOP#GENERAL', 'LAPTOP#PRICE']",
277,I LOVE it!,['LAPTOP#GENERAL'],
278,I should have bought one a long time ago.,['LAPTOP#GENERAL'],
279,Not enough time for me to give it 5 stars!,['LAPTOP#GENERAL'],
280,"I've had the MacBook Pro 15 for about three weeks, and it really is a great computer.",['LAPTOP#GENERAL'],
281,I have only had PCs with Windows before so this takes a little getting use to.,['OS#USABILITY'],
